block,range,reg,rw,pnum,name,desc,lo,hi,unit,res,obj,rvs61,rvs21
,,"teehs ""noitpircseDllocotorP"" ]ced[",W/R,rebmuN,retemaraP,noitpircseD,timiL,timiL,tinU,noituloseR,tcejbO,16SVR,12SVR
,,ees( sserddA,,,,,rewoL,reppU,,,,,
,,retsigeR,,,,/noitaremunE,,,,,,,
,,BdM,,,,,,,,,,,
Heat pump,0x5000…0x53FBFL,20505,R/W,8450,Hours run compressor 1,,0,199'999,h,1/3600,x,x,x
Heat pump,0x5000…0x53FBFL,20506,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20507,R/W,8451,Start counter compressor 1,,0,199999,,1,x,x,x
Heat pump,0x5000…0x53FBFL,20508,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20509,R/W,8452,Hours run compressor 2,,0,199'999,h,1/3600,x,x,
Heat pump,0x5000…0x53FBFL,20510,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20511,R/W,8453,Start counter compressor 2,,0,199999,,1,x,x,
Heat pump,0x5000…0x53FBFL,20512,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20513,R/W,8454,Locking time HP,,0,199'999,h,1/3600,x,x,x
Heat pump,0x5000…0x53FBFL,20514,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20515,R/W,8455,Counter number of locks HP,,0,199999,,1,x,x,x
Heat pump,0x5000…0x53FBFL,20516,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20517,R/W,8456,Hours run el flow,,0,199'999,h,1/3600,x,x,x
Heat pump,0x5000…0x53FBFL,20518,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20519,R/W,8457,Start counter el flow,,0,199999,,1,x,x,x
Heat pump,0x5000…0x53FBFL,20520,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20521,R/W,8458,Hours run el 2 flow,,0,199'999,h,1/3600,x,x,x
Heat pump,0x5000…0x53FBFL,20522,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20523,R/W,8459,Start counter el 2 flow,,0,199999,,1,x,x,x
Heat pump,0x5000…0x53FBFL,20524,,,,(32 Bit Data),,,,,,,
Heat pump,0x5000…0x53FBFL,20525,R,8463,Evaporation temp EVI,,-50,180,°C,1/64,x,x,x
Heat pump,0x5000…0x53FBFL,20526,R,8463,Status,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20528,R,8464,Status,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20529,R,8464,Superheat setpoint EVI,,0,140,°C,1/64,x,x,x
Heat pump,0x5000…0x53FBFL,20530,R,8464,Status,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20531,R,8477,Temp diff defrost act value,,-50,50,°C,1/64,x,x,x
Heat pump,0x5000…0x53FBFL,20532,R,8477,Status,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20533,R,8478,Temp diff defrost setpoint,,-50,50,°C,1/64,x,x,x
Heat pump,0x5000…0x53FBFL,20534,R,8478,Status,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20535,R,8480,Remain time defrost lock,,0,255,min,1,x,x,x
Heat pump,0x5000…0x53FBFL,20536,R,8480,Status,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20537,R,8481,Remain time forced defrost,,0,65'535,h:m,1min,x,x,x
Heat pump,0x5000…0x53FBFL,20538,R,8481,Status,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20539,R,8482,Remain time defrost settling,,0,255,min,1,x,x,x
Heat pump,0x5000…0x53FBFL,20540,R,8482,Status,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20541,R,8485,Number defrost attempts,,0,10,,,x,x,x
Heat pump,0x5000…0x53FBFL,20542,R,8487,Defrost state,"x 0: HP off,defr release OT off | 1: Locked | 2: Monitoring ice | 3: Preheating for defrost | 4: Defrost active | 5: Dripping | 6: Cooling down evaporator | 7: Fault | 8: Forced defrost | 9: Defrost settling | 10: Defrost with fan | 11: Defrost with compressor | 12: Forced defrost fan | 13: Forced defrost compressor | 14: Start delay defrost",0,14,,,x,x,x
Heat pump,0x5000…0x53FBFL,20543,R/W,2909,Release below outside temp,,-50,50,°C,1/64,x,x,x
Heat pump,0x5000…0x53FBFL,20544,R/W,2909,Status/Comand,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20545,R/W,2910,Release above outside temp,,-30,30,°C,1/64,x,x,x
Heat pump,0x5000…0x53FBFL,20546,R/W,2910,Status/Comand,see description,,,,,x,x,x
Heat pump,0x5000…0x53FBFL,20547,R/W,6711,Reset HP,x 0: No | 1: Yes,0,1,,,x,x,x
Heat pump,0x5000…0x53FBFL,20548,R/W,7071,HP time since maint,,0,240,Months,1,x,x,x
Heat pump,0x5000…0x53FBFL,20549,R/W,7073,Cur starts compr1/hrs run,,0,12,,1/10,x,x,x
Heat pump,0x5000…0x53FBFL,20550,R/W,7075,Cur starts compr2/hrs run,,0,12,,1/10,x,x,
Heat pump,0x5000…0x53FBFL,20551,R/W,7077,Cur diff condens max/week,,0,250,,,x,x,x
Heat pump,0x5000…0x53FBFL,20552,R/W,7079,Cur diff condens min/week,,0,250,,,x,x,x
Heat pump,0x5000…0x53FBFL,20553,R/W,7081,Cur diff evap max/week,,0,250,,,x,x,x
Heat pump,0x5000…0x53FBFL,20554,R/W,7083,Cur diff evap min/week,,0,250,,,x,x,x
Heat pump,0x5000…0x53FBFL,20555,R/W,7152,Triggering defrost,x 0: No,0,1,,,x,x,x
Heat pump,0x5000…0x53FBFL,20556,R,8006,State heat pump,see description: status codes,0,1000,,,x,x,x
Energy meter,0x7400…0x77FBFL,29696,R,3110,Heat delivered,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29697,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29698,R,3110,Status/Comand,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29699,R,3113,Energy brought in,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29700,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29701,R,3113,Status/Comand,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29702,R,3116,Performance factor,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29703,R,3116,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29704,R,3120,Yearly perf factor 1,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29705,R,3120,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29706,R,3120,Fixed day 1,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29707,R,3120,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29708,R,3120,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29709,R,3120,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29710,R,3121,Heat delivered heating 1,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29711,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29712,R,3121,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29713,R,3122,Heat delivered DHW 1,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29714,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29715,R,3122,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29716,R,3124,Energy brought in heating 1,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29717,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29718,R,3124,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29719,R,3125,Energy brought in DHW 1,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29720,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29721,R,3125,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29722,R,3127,Yearly perf factor 2,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29723,R,3127,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29724,R,3127,Fixed day 2,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29725,R,3127,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29726,R,3127,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29727,R,3127,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29728,R,3128,Heat delivered heating 2,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29729,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29730,R,3128,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29731,R,3129,Heat delivered DHW 2,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29732,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29733,R,3129,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29734,R,3131,Energy brought in heating 2,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29735,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29736,R,3131,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29738,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29739,R,3132,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29740,R,3134,Yearly perf factor 3,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29741,R,3134,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29742,R,3134,Fixed day 3,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29743,R,3134,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29744,R,3134,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29745,R,3134,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29746,R,3135,Heat delivered heating 3,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29747,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29748,R,3135,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29749,R,3136,Heat delivered DHW 3,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29750,,,,,,,,,,,
Energy meter,0x7400…0x77FBFL,29751,R,3136,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29752,R,3138,Energy brought in heating 3,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29753,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29754,R,3138,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29755,R,3139,Energy brought in DHW 3,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29756,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29757,R,3139,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29758,R,3141,Yearly perf factor 4,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29759,R,3141,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29760,R,3141,Fixed day 4,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29761,R,3141,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29762,R,3141,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29763,R,3141,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29764,R,3142,Heat delivered heating 4,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29765,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29766,R,3142,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29767,R,3143,Heat delivered DHW 4,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29768,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29769,R,3143,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29770,R,3145,Energy brought in heating 4,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29771,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29772,R,3145,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29773,R,3146,Energy brought in DHW 4,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29774,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29775,R,3146,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29776,R,3148,Yearly perf factor 5,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29777,R,3148,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29778,R,3148,Fixed day 5,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29779,R,3148,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29780,R,3148,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29781,R,3148,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29782,R,3149,Heat delivered heating 5,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29783,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29784,R,3149,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29785,R,3150,Heat delivered DHW 5,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29786,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29787,R,3150,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29788,R,3152,Energy brought in heating 5,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29789,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29790,R,3152,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29791,R,3153,Energy brought in DHW 5,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29792,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29793,R,3153,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29794,R,3155,Yearly perf factor 6,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29795,R,3155,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29796,R,3155,Fixed day 6,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29797,R,3155,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29798,R,3155,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29799,R,3155,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29800,R,3156,Heat delivered heating 6,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29801,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29802,R,3156,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29803,R,3157,Heat delivered DHW 6,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29804,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29805,R,3157,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29806,R,3159,Energy brought in heating 6,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29807,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29808,R,3159,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29809,R,3160,Energy brought in DHW 6,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29810,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29811,R,3160,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29812,R,3162,Yearly perf factor 7,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29813,R,3162,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29814,R,3162,Fixed day 7,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29815,R,3162,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29816,R,3162,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29817,R,3162,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29818,R,3163,Heat delivered heating 7,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29819,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29820,R,3162,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29821,R,3164,Heat delivered DHW 7,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29822,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29823,R,3164,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29825,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29826,R,3166,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29827,R,3167,Energy brought in DHW 7,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29828,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29829,R,3167,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29830,R,3169,Yearly perf factor 8,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29831,R,3169,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29832,R,3169,Fixed day 8,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29833,R,3169,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29834,R,3169,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29835,R,3169,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29836,R,3170,Heat delivered heating 8,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29837,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29838,R,3170,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29839,R,3171,Heat delivered DHW 8,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29840,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29841,R,3171,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29842,R,3173,Energy brought in heating 8,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29843,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29844,R,3173,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29845,R,3174,Energy brought in DHW 8,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29846,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29847,R,3174,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29848,R,3176,Yearly perf factor 9,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29849,R,3176,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29850,R,3176,Fixed day 9,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29851,R,3176,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29852,R,3176,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29853,R,3176,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29854,R,3177,Heat delivered heating 9,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29855,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29856,R,3177,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29857,R,3178,Heat delivered DHW 9,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29858,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29859,R,3178,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29860,R,3180,Energy brought in heating 9,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29861,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29862,R,3180,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29863,R,3181,Energy brought in DHW 9,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29864,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29865,R,3181,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29866,R,3183,Yearly perf factor 10,,0,10,,1/100,x,x,x
Energy meter,0x7400…0x77FBFL,29867,R,3183,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29868,R,3183,Fixed day 10,Year,100,199,Year,1,x,x,x
Energy meter,0x7400…0x77FBFL,29869,R,3183,,Month,1,12,Month,1,x,x,x
Energy meter,0x7400…0x77FBFL,29870,R,3183,,Day,1,31,Day,1,x,x,x
Energy meter,0x7400…0x77FBFL,29871,R,3183,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29872,R,3184,Heat delivered heating 10,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29873,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29874,R,3184,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29875,R,3185,Heat delivered DHW 10,,0,9999999,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29876,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29877,R,3185,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29878,R,3187,Energy brought in heat 10,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29879,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29880,R,3187,Status,see description,,,,,x,x,x
Energy meter,0x7400…0x77FBFL,29881,R,3188,Energy brought in DHW 10,,0,3500000,kWh,1,x,x,x
Energy meter,0x7400…0x77FBFL,29882,,,,(32 Bit Data),,,,,,,
Energy meter,0x7400…0x77FBFL,29883,R,3188,Status,see description,,,,,x,x,x
Supplementary source,0x7800…0x7BFBFL,30720,R/W,3700,Release below outside temp,,-50,50,°C,1/64,x,x,x
Supplementary source,0x7800…0x7BFBFL,30721,R/W,3700,Status/Comand,see description,,,,,x,x,x
Supplementary source,0x7800…0x7BFBFL,30722,R/W,3701,Release above outside temp,,-50,50,°C,1/64,x,x,x
Supplementary source,0x7800…0x7BFBFL,30723,R/W,3701,Status/Comand,see description,,,,,x,x,x
Supplementary source,0x7800…0x7BFBFL,30724,R,8586,Suppl source setpoint,,0,140,°C,1/64,x,x,x
Supplementary source,0x7800…0x7BFBFL,30725,R,8586,Status/Comand,see description,,,,,x,x,x
Supplementary source,0x7800…0x7BFBFL,30726,R,8022,State supplementary source,see description: status codes,0,1000,,,x,x,x
Solid fuel boiler,0x7C00…0x7FFBFL,31744,R/W,8570,Hours run solid fuel boiler,,0,199'999,h,1/3600,x,x,x
Solid fuel boiler,0x7C00…0x7FFBFL,31745,,,,(32 Bit Data),,,,,,,
Solid fuel boiler,0x7C00…0x7FFBFL,31746,R,8560,Solid fuel boiler temp,,0,140,°C,1/64,x,x,x
Solid fuel boiler,0x7C00…0x7FFBFL,31747,R,8560,Status,see description,,,,,x,x,x
Solid fuel boiler,0x7C00…0x7FFBFL,31748,R,8561,Solid fuel boiler setpoint,,0,140,°C,1/64,x,x,x
Solid fuel boiler,0x7C00…0x7FFBFL,31749,R,8561,Status,see description,,,,,x,x,x
Solid fuel boiler,0x7C00…0x7FFBFL,31750,R,8563,Solid fuel boiler return temp,,0,140,°C,1/64,x,x,x
Solid fuel boiler,0x7C00…0x7FFBFL,31751,R,8563,Status,see description,,,,,x,x,x
Solid fuel boiler,0x7C00…0x7FFBFL,31752,R,8008,State solid fuel boiler,see description: status codes,0,1000,,,x,x,x
Solar,0x8000…0x83FBFL,32768,R/W,3810,Temp diff on,,0,40,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32769,R/W,3811,Temp diff off,,0,40,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32770,R/W,3812,Charg temp min DHW st tank,,8,95,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32771,R/w,3812,Status/Comand,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32772,R/W,3813,Temp diff on buffer,,0,40,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32773,R/W,3813,Status/Comand,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32774,R/W,3814,Temp diff off buffer,,0,40,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32775,R/W,3814,Status/Comand,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32777,R/W,3815,Status/Comand,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32778,R/W,3816,Temp diff on swi pool,,0,40,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32779,R/W,3816,Status/Comand,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32780,R/W,3817,Temp diff off swi pool,,0,40,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32781,R/W,3817,Status/Comand,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32782,R/W,3818,Charging temp min swi pool,,8,95,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32783,R/W,3818,Status/Comand,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32784,R,8510,Collector temp 1,,-28,350,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32785,R,8510,Status,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32786,R,8519,Solar flow temp,,-28,350,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32787,R,8519,Status,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32788,R,8520,Solar return temp,,-28,350,°C,1/64,x,x,x
Solar,0x8000…0x83FBFL,32789,R,8520,Status,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32790,R,8526,24-hour yield solar energy,,0,999.9,kWh,1/10,x,x,x
Solar,0x8000…0x83FBFL,32791,R,8526,Status,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32792,R,8527,Total yield solar energy,,0,199999,kWh,1/10,x,x,x
Solar,0x8000…0x83FBFL,32793,,,,(32 Bit Data),,,,,,,
Solar,0x8000…0x83FBFL,32794,R,8527,Status/Comand,see description,,,,,x,x,x
Solar,0x8000…0x83FBFL,32795,R/W,8530,Hours run solar yield,,0,199'999,h,1/3600,x,x,x
Solar,0x8000…0x83FBFL,32796,,,,(32 Bit Data),,,,,,,
